"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLE - NUMBER","SPRINKLE - POTENTIAL UTILISED","OTHER - NUMBER","OTHER - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"JHARKHAND","GODDA",5,28.6,105,690.2,2,14.4,3,21.6,0,0,0,0,0,0,115,754.8
"JHARKHAND","GUMLA",3,0,18,0,0,0,0,0,0,0,0,0,0,0,21,0
"JHARKHAND","HAZARIBAGH",0,0,1,0.44,0,0,0,0,0,0,0,0,0,0,1,0.44
"JHARKHAND","JAMTARA",1,3.24,15,11.85,0,0,0,0,0,0,0,0,0,0,16,15.09
"JHARKHAND","KHUNTI",8,4.8,23,3.7,0,0,0,0,0,0,0,0,9,12.2,40,20.7
"JHARKHAND","KODERMA",16,28.2,14,11.31,0,0,0,0,0,0,0,0,0,0,30,39.51
"JHARKHAND","LATEHAR",0,0,7,17.85,0,0,0,0,0,0,0,0,0,0,7,17.85
"JHARKHAND","LOHARDAGA",1,0.3,7,11.62,0,0,0,0,0,0,0,0,0,0,8,11.92
"JHARKHAND","PAKUR",24,53.4,251,135,5,5,6,7,0,0,0,0,1,1.6,287,202
"JHARKHAND","PALAMU",3,6,209,411.4,0,0,0,0,0,0,0,0,1,2,213,419.4
"JHARKHAND","RAMGARH",1,0,7,1.55,0,0,0,0,0,0,0,0,0,0,8,1.55
"JHARKHAND","RANCHI",9,5.26,57,29.85,15,10.1,0,0,4,0,1,1,1,0,87,46.21
"JHARKHAND","SAHEBGANJ",3,10,349,239.27,0,0,2,8,1,1,0,0,0,0,355,258.27
"JHARKHAND","SARAIKELA",0,0,24,18.63,1,0,0,0,0,0,0,0,2,0.98,27,19.61
"JHARKHAND","SIMDEGA",0,0,52,39.68,0,0,0,0,0,0,0,0,0,0,52,39.68
"JHARKHAND","WEST SINGHBHUM",0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4
"KARNATAKA","Bagalkote",2538,6883,1640,3319.2,20504,54997.14,2749,6719.13,401,1378.65,1413,5287.32,103,96.75,29348,78681.19
"KARNATAKA","Bangalore",3024,3514.26,1108,1188.73,8776,10034.52,55,63.77,86,187.41,13,24.83,875,35.39,13937,15048.91
"KARNATAKA","Bangalore Rural",7125,7403.74,10985,11310.88,17174,17583.37,2403,1996.48,2743,3078.64,337,455.09,2686,143.13,43453,41971.33
"KARNATAKA","Belgaum",8084,16106.34,7331,15769.48,22553,45456.23,4033,7027.81,70,118.97,42,229.17,1371,655.26,43484,85363.26
"KARNATAKA","Bellary",3739,9979.87,4415,11969.81,13171,35030.4,186,525.56,62,200.09,14,36.88,550,488.6,22137,58231.21
"KARNATAKA","Bidar",1724,2384.46,7970,9430.71,5161,6915.9,227,323.16,29,28.72,3,1.97,151,96.47,15265,19181.39
"KARNATAKA","Bijapur",3154,7189.34,2977,7231.7,8551,23095.34,1680,5455.86,1870,4388.56,20,48.86,83,22.56,18335,47432.22
"KARNATAKA","Chamaraja Nagara",5899,8768.41,3007,4500.31,11059,16125.89,1166,1376.7,309,629.28,17,17.71,1392,19.46,22849,31437.76
"KARNATAKA","Chikmagalur",642,643.42,436,413.69,12473,11647.52,4027,3634.78,5975,5710.43,134,187.84,525,56.22,24212,22293.9
"KARNATAKA","Chitradurga",13363,26037.48,6653,13385.11,12073,22270.64,4196,7473.94,11525,14215.85,147,364.4,758,118.97,48715,83866.39
"KARNATAKA","Dakshina Kannada",461,626.4,437,562.74,2485,4096.7,1794,2069.56,1343,1875.26,8416,11259.66,259,238.27,15195,20728.59
"KARNATAKA","Davanagere",1967,3285.97,4963,8874.25,18693,36898.38,4452,7247.41,12387,14911.94,30,52.06,692,322.74,43184,71592.75
"KARNATAKA","Dharwar",438,670.01,639,862.07,3052,4536.88,4725,6222.68,32,65.07,364,898.52,159,17.11,9409,13272.34
"KARNATAKA","Gadag",3709,8979.72,623,1467.42,4007,11635.95,1206,2709.48,56,145.96,76,205.71,113,65.02,9790,25209.26
"KARNATAKA","Gulbarga",2074,3366.78,3763,5142.61,5342,8281.52,1218,1689.5,48,77.43,17,12.3,1539,39.62,14001,18609.76
"KARNATAKA","Hassan",1721,1721.89,1534,1477.61,39351,44259.24,2733,4156.67,517,644.45,65,138.94,471,85.11,46392,52483.91
"KARNATAKA","Haveri",2282,3603.08,6167,14140.45,6158,11840.69,8939,18201.66,147,304.57,16,28.31,719,2.3,24428,48121.06
"KARNATAKA","Kodagu",17,26.1,13,27.59,311,750.88,215,592.14,193,997.06,625,2303.79,8,20.53,1382,4718.09
"KARNATAKA","Kolar",20186,25778.73,10453,12866.46,24255,33721.33,1216,1666.45,1128,1484.64,157,309.37,2937,364.26,60332,76191.24
"KARNATAKA","Koppal",3538,6826.2,5126,10036.83,13566,25839.76,997,2083.25,376,783.85,30,65.32,2963,23.65,26596,45658.86
"KARNATAKA","Mandya",3293,2739.61,4690,2856.17,25447,22876.08,1216,957.02,37,40.02,4,3.31,1022,300.21,35709,29772.42
"KARNATAKA","Mysore",1080,1675.81,2332,3310.38,19321,32781.92,2518,4521.8,133,284.81,223,447.22,632,150.7,26239,43172.64
"KARNATAKA","Raichur",41,60.69,917,1173.7,5873,10555.24,640,930.91,91,238.79,7,38.13,97,2.41,7666,12999.87
"KARNATAKA","Shimoga",767,870.73,4675,6555.77,6706,9731.87,4572,6421.25,2110,2811.85,1169,1519,182,101.56,20181,28012.03
"KARNATAKA","Tumkur",23431,29129.72,9558,12141.59,51984,58350.26,5586,5818.97,5940,8722.88,95,153.02,5941,382.87,102535,114699.31
"KARNATAKA","Udupi",407,351.21,383,318.41,382,426.31,380,382.59,137,191.03,357,458.52,31,20.93,2077,2149
"KARNATAKA","Uttara Kannada",361,284.3,323,174.87,1537,1280.95,3536,3167.16,356,295.41,179,156.62,84,15.56,6376,5374.87
"KERALA","ALAPPUZHA",0,0,43,15.07,1,0.4,1472,563.66,3,4.31,2,2.47,35,9.07,1556,594.98
"KERALA","ERANAKULAM",0,0,56,46.48,5,6.1,30,23.56,2,2.5,4,1.9,3,0.79,100,81.33
"KERALA","IDDUKKI",0,0,3,7.05,0,0,41,69.95,0,0,0,0,42,118.06,86,195.06
"KERALA","KANNUR",1,0.05,3,0.9,16,18.1,133,158.33,1,0.2,18,12.96,1,0,173,190.54
"KERALA","KASARAGODE",39,51.71,136,61.79,106,228.21,80,142.81,8,12.8,33,68.7,4,1.75,406,567.77
"KERALA","KOLLAM",0,0,0,0,13,127.19,4,1.24,0,0,0,0,10,1.91,27,130.34
"KERALA","KOTTAYAM",0,0,2,2.51,0,0,6,1.92,2,0.46,0,0,13,3.26,23,8.15
"KERALA","KOZHIKODE",0,0,1,0.28,0,0,5,1.83,0,0,0,0,0,0,6,2.11
"KERALA","MALAPPURAM",17,12.65,159,104.08,8,28.66,154,74.42,5,2.05,4,3.6,0,0,347,225.46
"KERALA","PALAKKAD",367,559.36,761,1152.06,41,55.86,121,185.54,0,0,7,13,0,0,1297,1965.82
"KERALA","PATHANAMTHITTA",0,0,15,5.98,11,6.91,16,9.82,0,0,0,0,15,10.7,57,33.41
"KERALA","THIRUVANANTHAPURAM",0,0,0,0,1,0.1,24,16.05,0,0,0,0,1,0,26,16.15
"KERALA","THRISSUR",137,76.08,509,164.42,45,25.45,1071,294.65,17,9.14,16,7.81,1,0.08,1796,577.63
"KERALA","WAYANAD",0,0,10,12.72,0,0,3,6.3,0,0,0,0,0,0,13,19.02
"MADHYA PRADESH","ANUPPUR",1,0.29,10,18.09,0,0,2,0.8,0,0,0,0,1,0,14,19.18
"MADHYA PRADESH","Ashok Nagar",4,21,121,487.14,0,0,1155,5418.85,1,5,0,0,0,0,1281,5931.99
"MADHYA PRADESH","BALAGHAT",1,0.72,7,25.49,3,3.26,2,3.28,0,0,0,0,1,0,14,32.75
"MADHYA PRADESH","BARWANI",3,11.03,335,953.12,96,238.94,95,226.63,0,0,1,3.3,0,0,530,1433.02
"MADHYA PRADESH","BETUL",204,299.97,1211,1854.92,16,34.13,393,2930.38,160,160,3,7,46,0,2033,5286.4
"MADHYA PRADESH","BHIND",7,29.34,96,389.83,1,10,2088,12353.91,3,20.8,2,10,34,10,2231,12823.88
"MADHYA PRADESH","BHOPAL",56,99.8,58,165.09,208,622.74,9294,26925.71,1,2.83,2,8.47,1,1.84,9620,27826.48
"MADHYA PRADESH","BURHANPUR",10,15.3,667,1825.27,22,39.3,36,105.74,97,335.7,0,0,1,2.7,833,2324.01
"MADHYA PRADESH","CHHATARPUR",3,37,24,278,0,0,11,101,0,0,0,0,0,0,38,416
"MADHYA PRADESH","CHHINDWARA",13,21,79,179.34,14,25.31,49,123.49,0,0,3,4,2,0,160,353.14
"MADHYA PRADESH","DAMOH",3,2.22,47,108.09,106,297.65,2347,7517.75,2,14.17,154,626.67,0,0,2659,8566.55
"MADHYA PRADESH","DATIA",0,0,140,312.64,0,0,311,754.86,0,0,0,0,120,23.5,571,1091
"MADHYA PRADESH","DEWAS",252,397.41,2926,6692.57,1127,3433.61,6674,18893.67,10,23.2,1,3,354,0,11344,29443.46
"MADHYA PRADESH","DHAR",353,663.46,4823,10110.31,6811,26829.81,16215,54626.71,94,717.6,313,1042.56,1247,4756.74,29856,98747.19
"MADHYA PRADESH","DINDORI",0,0,3,1.1,0,0,0,0,0,0,2,1.25,0,0,5,2.35
"MADHYA PRADESH","GUNA",145,360.36,1169,3796,397,1205.65,2337,15925.34,47,123.31,0,0,0,0,4095,21410.66
"MADHYA PRADESH","GWALIOR",308,631.44,1892,4998.73,80,336.33,6319,28963.6,2,6.8,0,0,138,214.64,8739,35151.54
"MADHYA PRADESH","HARDA",46,25.42,363,1005.13,135,420.19,589,1916.16,6,14.9,5,16.3,24,1.55,1168,3399.65
"MADHYA PRADESH","HOSHANGABAD",1759,5754.03,1490,5421.34,405,1324.14,4914,20292.41,5,44.08,322,1992.32,58,142.22,8953,34970.54
"MADHYA PRADESH","INDORE",263,784.12,12812,53082.35,4785,15661.88,22646,102829.63,19,89.28,13,86.09,272,1099.24,40810,173632.59
"MADHYA PRADESH","JABALPUR",74,417.04,5,11.42,22,148.78,740,2578.48,6,16.71,8908,40638.07,0,0,9755,43810.5
"MADHYA PRADESH","JHABUA",1,0,222,267.56,221,303.97,598,927.41,0,0,0,0,0,0,1042,1498.94
"MADHYA PRADESH","KATNI",4,40,184,642.58,45,171.86,590,1582.25,0,0,2,4.31,0,0,825,2441
"MADHYA PRADESH","KHANDWA",4,7.5,974,2165.59,146,502.17,14,28.5,0,0,0,0,0,0,1138,2703.76
"MADHYA PRADESH","KHARGONE",16,34.88,1027,2318.95,203,1971.64,11,26,0,0,0,0,0,0,1257,4351.47
"MADHYA PRADESH","MANDLA",2,6,5,7.76,0,0,1,2.4,0,0,0,0,0,0,8,16.16
"MADHYA PRADESH","MANDSAUR",2,2.9,317,513.35,76,183.73,95,493.38,1,5.22,0,0,20,5.45,511,1204.03
"MADHYA PRADESH","MORENA",11,2051.99,86,497.86,1,0,451,3758.13,0,0,0,0,134,698.77,683,7006.75
"MADHYA PRADESH","NARSINGHPUR",64,267.1,97,351.82,87,406.61,1646,6195.8,285,815.39,19915,71183.62,314,7.93,22408,79228.27
"MADHYA PRADESH","NEEMUCH",55,209.14,258,548.01,111,237.66,217,388.05,0,0,0,0,0,0,641,1382.86
"MADHYA PRADESH","PANNA",20,58.3,48,326.1,146,973.88,2195,7723.92,1,4.5,0,0,0,0,2410,9086.7
"MADHYA PRADESH","RAISEN",166,1305.76,20,44.12,263,1199.1,6954,37795.29,10,60.08,1622,8044.35,0,0,9035,48448.7
"MADHYA PRADESH","RAJGARH",8,13.39,47,68.6,499,1292.09,3255,8287.41,1,0.3,0,0,115,1.27,3925,9663.06
"MADHYA PRADESH","RATLAM",15,35.65,907,1927.99,302,669.53,1827,4296.73,0,0,6,19.8,837,0,3894,6949.7
"MADHYA PRADESH","REWA",12,46.66,495,1734.61,77,230.87,1123,3717.56,7,95.07,0,0,5,0,1719,5824.77
"MADHYA PRADESH","SAGAR",1,12,15,33.93,302,828.57,2967,8611.27,0,0,102,572.7,0,0,3387,10058.47
"MADHYA PRADESH","SATNA",95,263.91,947,2900.06,484,1636.1,2982,9669.04,14,86.3,29,91.15,69,7,4620,14653.56
"MADHYA PRADESH","SEHORE",45,211.2,123,575,1811,7854.24,14892,72600.45,79,292.05,12,49,461,55,17423,81636.94
"MADHYA PRADESH","SEONI",8,10.37,39,58.53,6,10.68,227,436.06,0,0,95,214.98,16,0,391,730.62
"MADHYA PRADESH","SHAHDOL",1,3.32,58,402.13,0,0,11,30.96,0,0,0,0,0,0,70,436.41
"MADHYA PRADESH","SHAJAPUR",13,22.96,677,1988.34,1427,4349.82,3706,10130.87,10,30.97,25,63.98,7,0,5865,16586.94
"MADHYA PRADESH","SHEOPUR",1,8,759,5042.27,40,153.21,1218,4526.17,1,1.49,0,0,15,0,2034,9731.14
"MADHYA PRADESH","SHIVPURI",338,1920.47,86,201.42,31,112.17,211,838.44,0,0,0,0,0,0,666,3072.5
"MADHYA PRADESH","SIDHI",45,233.8,854,2472.07,112,299.3,730,2830.68,0,0,1,5.9,0,0,1742,5841.75
"MADHYA PRADESH","TIKAMGARH",2,9,87,359.3,2,19,28,110.64,1,2,0,0,0,0,120,499.94
"MADHYA PRADESH","UJJAIN",493,444.66,773,1023.79,22223,22348.2,9058,11876.9,5374,5367.15,0,0,0,0,37921,41060.7
"MADHYA PRADESH","UMARIA",18,79.61,301,907.11,5,24.45,107,301.9,0,0,2,19.8,7,0,440,1332.87
"MADHYA PRADESH","VIDISHA",20,89.82,2,3.5,99,519.13,12310,69280.6,1,4,5,21.06,21,4.9,12458,69923.01
"MAHARASHTRA","AHMEDNAGAR",1007,1957.9,3642,4384.43,6145,12828.83,1376,2409.61,301,895.93,41,60.39,2398,3944.88,14910,26481.97
"MAHARASHTRA","AKOLA",6,7.97,139,252.8,102,239.19,2,1.4,1,0.7,32,101.16,14,0,296,603.22
"MAHARASHTRA","AMRAVATI",3,5.46,151,328.41,125,261.76,54,111.13,8,19.82,621,1719.41,3,0,965,2445.99
"MAHARASHTRA","AURANGABAD",33,47.34,468,825.06,942,1931.53,98,194.88,30,52.75,2,0.8,4,1.5,1577,3053.86
"MAHARASHTRA","BEED",38,204.3,284,978.1,962,1976.9,145,293.41,2,1.61,1,0.82,5,23.89,1437,3479.03
"MAHARASHTRA","BHANDARA",0,0,76,67.06,0,0,3,3.1,0,0,0,0,0,0,79,70.16
"MAHARASHTRA","BULDANA",1,0,98,126.81,38,30.57,244,240.29,14,27.03,66,85.2,59,0,520,509.9
"MAHARASHTRA","CHANDRAPUR",5,2.42,839,1732.42,17,29.19,601,1242.81,1,3.69,7,15.19,0,0,1470,3025.72
"MAHARASHTRA","DHULE",3,4.91,472,624.79,1161,1992.35,533,909.74,20,30.06,8,23.55,243,0,2440,3585.4
"MAHARASHTRA","GADCHIROLI",1,0.4,31,145.1,2,0,27,91.75,0,0,0,0,1,2.21,62,239.46
"MAHARASHTRA","GONDIYA",73,118.02,60,80.54,14,17.07,46,51.72,0,0,0,0,1,2,194,269.35
"MAHARASHTRA","HINGOLI",13,23.73,868,2229.51,1587,4245.36,526,1567.99,3,9,3,10.1,0,0,3000,8085.69
"MAHARASHTRA","JALGAON",36,74.85,204,353.44,2005,4071.38,1819,4076.71,346,800.19,3,6.08,43,57.6,4456,9440.25
"MAHARASHTRA","JALNA",15,21.26,105,155.39,585,1535.75,18,23.19,10,24.64,0,0,108,30.25,841,1790.48
"MAHARASHTRA","KOLHAPUR",53,54.99,676,1227.76,917,1524.97,171,282.12,0,0,0,0,28,2.4,1845,3092.24
"MAHARASHTRA","LATUR",184,389,112,182.6,1173,2455.8,416,983.86,4,15.6,15,45.09,1,0,1905,4071.95
"MAHARASHTRA","NAGPUR",10,10.15,74,54.04,3,0.44,19,35.22,0,0,0,0,0,0,106,99.85
"MAHARASHTRA","NANDED",157,358.28,1614,3908.4,4889,11429.72,466,1249.46,1,1.64,68,331.16,3,0.3,7198,17278.96
"MAHARASHTRA","NANDURBAR",26,101.53,3564,8573.99,2450,6783.98,765,2283.66,17,34.02,4,9.57,309,29.09,7135,17815.84
"MAHARASHTRA","NASHIK",32,45.75,431,792.9,148,205.32,21,28.47,0,0,0,0,2836,3956.85,3468,5029.29
"MAHARASHTRA","OSMANABAD",71,143.81,415,1033.61,743,2125.51,120,346.26,0,0,0,0,140,24.47,1489,3673.66
"MAHARASHTRA","PARBHANI",9,21.8,896,1231.1,1723,3436.67,277,213.45,0,0,0,0,10,0,2915,4903.02
"MAHARASHTRA","PUNE",70,258.68,1514,1731.47,3855,13601.02,311,1111.04,1,0.03,2,2,6,2.16,5759,16706.4
"MAHARASHTRA","RAIGHAR",1,0.6,33,67.9,309,609.01,2,1.1,0,0,0,0,11,12.15,356,690.76
"MAHARASHTRA","RATNAGIRI",3,0.95,13,6.29,13,7.1,19,14.98,9,8.48,0,0,2,0.58,59,38.38
"MAHARASHTRA","SANGLI",82,74.86,1842,2661.66,2714,3845.09,223,331.12,651,750.73,2,1.12,35,75.19,5549,7739.77
"MAHARASHTRA","SATARA",94,124.69,632,810.82,1779,2608.7,101,120.69,34,19.77,64,75.44,4,2,2708,3762.11
"MAHARASHTRA","SINDHUDURGA",5,5.1,34,32.6,5,14.2,17,12.3,0,0,1,1.2,1,0,63,65.4
"MAHARASHTRA","SOLAPUR",45,86.84,3665,8070.82,5195,9203.74,248,408.39,250,621.73,2,2,36,1.2,9441,18394.72
"MAHARASHTRA","THANE",8,52.26,487,875.65,739,1393.11,634,829.68,175,373.67,2,0.7,8,8.44,2053,3533.51
"MAHARASHTRA","WARDHA",5,6.08,24,35.15,19,35.45,7,52.2,0,0,3,7.3,0,0,58,136.18
"MAHARASHTRA","WASHIM",23,36.92,172,238.68,29,74.02,163,197.56,0,0,10,12.35,2,0,399,559.53
"MAHARASHTRA","YAVATMAL",11,22.53,203,421.64,107,193.57,124,221.46,0,0,127,263.1,0,0,572,1122.3
"MEGHALAYA","WEST GARO HILLS",1,3,201,774.9,0,0,0,0,0,0,0,0,0,0,202,777.9
"MEGHALAYA","WEST KHASI HILLS",0,0,2,0.7,0,0,0,0,0,0,0,0,0,0,2,0.7
"NAGALAND","DIMAPUR",0,0,1,1.8,0,0,0,0,0,0,0,0,1,0,2,1.8
"ODISHA","ANGUL",0,0,146,64.09,8,1.1,131,38.82,1,1.15,0,0,13,0.85,299,106.01
"ODISHA","BALASORE",196,380.82,12182,30680.09,25,118.21,1556,3433.51,1,3,7,4.16,3349,0.84,17316,34620.63
"ODISHA","BARGARH",16,57.71,1834,4543.4,26,114.58,347,1099.81,2,7.45,0,0,325,24.89,2550,5847.84
"ODISHA","BHADRAK",12,28.41,2795,5120.83,71,88.48,747,1000.37,0,0,3,5.23,1583,84.69,5211,6328.01
"ODISHA","BOLANGIR",4,18.44,94,176.12,1,0.91,4,8.47,0,0,0,0,12,0,115,203.94
"ODISHA","BOUDH",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
"ODISHA","CUTTACK",46,169.71,4151,5615.72,15,65.4,1217,1067.94,0,0,1,0.9,974,0.06,6404,6919.73
"ODISHA","DEOGARH",0,0,12,2.51,0,0,0,0,0,0,0,0,0,0,12,2.51
"ODISHA","DHENKANAL",5,2.1,30,23.48,15,29.92,30,42.68,0,0,1,2.22,17,0.17,98,100.57
"ODISHA","GAJAPATI",8,73.76,111,535.99,0,0,18,65.57,0,0,0,0,21,0,158,675.32
"ODISHA","GANJAM",117,639.66,1489,4655.64,26,246.01,74,542.58,1,4.2,3,0.6,306,0,2016,6088.69
"ODISHA","JAGATSINGHPUR",36,39.71,2518,2288.52,10,20.57,2180,1940.64,2,4.08,0,0,1384,0.03,6130,4293.55
"ODISHA","JAJAPUR",291,278.14,2103,3313.63,82,100.16,1659,1712.12,2,1.8,0,0,926,4.15,5063,5410
"ODISHA","JHARSUGUDA",0,0,10,13.43,0,0,0,0,0,0,0,0,6,0,16,13.43
"ODISHA","KALAHANDI",2,8.82,14,18.26,1,0.6,1,0.28,0,0,0,0,5,0,23,27.96
"ODISHA","KANDHAMAL",0,0,4,1.34,0,0,0,0,0,0,0,0,1,0,5,1.34
"ODISHA","KENDRAPARA",17,22.78,827,1238.43,7,81.13,331,541.42,0,0,0,0,516,1.4,1698,1885.16
"ODISHA","KEONJHAR",3,2.84,661,526.71,3,2.5,569,194.58,0,0,13,17.08,257,4.29,1506,748
"ODISHA","KHURDA",5,10.03,1030,1552.21,1,2.38,30,50.38,0,0,0,0,97,0,1163,1615
"ODISHA","KORAPUT",0,0,14,17.09,23,91.36,19,51.16,0,0,0,0,8,0.16,64,159.77
"ODISHA","MALKANAGIRI",7,28.3,0,0,0,0,0,0,0,0,0,0,0,0,7,28.3
"ODISHA","MAYURBHANJA",19,50.08,1910,3345.78,30,113.13,423,675.58,0,0,1,1.64,488,6.75,2871,4192.96
"ODISHA","NAWARANGAPUR",2,22,68,64.47,0,0,15,34.03,0,0,0,0,13,0,98,120.5
"ODISHA","NAYAGARH",5,17.2,134,270.79,3,20.5,129,356.28,0,0,1,2.83,50,0,322,667.6
"ODISHA","NUAPADA",0,0,27,43.58,0,0,0,0,0,0,0,0,13,0,40,43.58
"ODISHA","PURI",63,166.75,6040,10138.85,14,22.67,132,124,0,0,2,6.04,706,10.01,6957,10468.32
"ODISHA","RAYAGADA",16,130.2,282,1339.49,6,58,103,609.32,0,0,1,1.2,126,4.64,534,2142.85
"ODISHA","SAMBALPUR",0,0,27,20.01,1,0.6,6,5.89,0,0,0,0,6,0,40,26.5
"ODISHA","SONEPUR",1,0.2,14,10.89,0,0,15,18.07,0,0,0,0,3,2.47,33,31.63
"ODISHA","SUNDARGARH",5,5.3,56,60.11,2,2.6,6,4.79,0,0,0,0,19,0,88,72.8
"PUDUCHERRY","PUDUCHERRY",1157,3359.09,608,1426.7,119,314.03,173,402.63,2,28.36,0,0,0,0,2059,5530.81
"PUNJAB","AMRITSER",66,281.52,82773,376094.22,260,1390.22,5,21.4,8,35.58,0,0,0,0,83112,377822.94
"PUNJAB","BARNALA",64,260.8,7938,41749.92,6,34,1,0.8,0,0,0,0,9,20,8018,42065.52
"PUNJAB","BATHINDA",18976,114328.62,12444,63590,108,954.18,9,120.6,4,10.04,9,148,9669,43881.18,41219,223032.62
"PUNJAB","FARIDKOT",2050,14986.62,33024,173723.58,11,58.22,1,3.6,1,4,0,0,1,1.62,35088,188777.64
"PUNJAB","FATEHGARH SAHIB",124,749.9,32325,192838.5,2921,23232.68,1,3.24,11,61.72,0,0,0,0,35382,216886.04
"PUNJAB","FEROZEPUR",24399,136306.62,57629,289600.54,383,3627.48,1,0.8,7,37.44,1,4.86,211,0,82631,429577.74
"PUNJAB","GURDASPUR",5967,27782.7,76135,337959.06,386,1893.78,61,284.76,1,7.28,0,0,0,0,82550,367927.58
"PUNJAB","HOSHIARPUR",14212,59858.26,20511,90258.76,392,2822.38,42,168.92,0,0,1,4.84,2612,378.4,37770,153491.56
"PUNJAB","JALANDHAR",2031,8887.54,37059,203072.94,8867,63203.08,25,98.4,10,86.32,1,3.24,0,0,47993,275351.52
"PUNJAB","KAPURTHALA",6338,34336.42,44105,238004.24,1132,7611.68,3,31.32,1,4.86,0,0,1,0,51580,279988.52
"PUNJAB","LUDHIANA",300,1686.9,90899,493475.06,0,0,0,0,0,0,0,0,1,0,91200,495161.96
